mid,theme,inout,food,shopping,art,popularity,nature,low cost,transportation,sport
0,traditional,out,상,중,하,상,상,상,중,하
1,traditional,out,상,중,중,상,하,중,상,하
2,traditional,out,상,중,중,중,중,중,중,하
3,traditional,out,상,상,상,상,하,중,상,하
4,traditional,out,상,중,하,중,하,중,중,하
5,traditional,out,상,상,하,상,하,중,중,하
6,art,in,상,중,상,상,하,하,상,하
7,nature,out,하,하,하,중,상,상,하,상
8,landmark,in,중,중,하,상,하,중,중,하
9,nature,out,상,하,하,중,상,중,중,하
10,nature,out,중,하,하,중,상,상,중,하
11,nature,out,중,중,중,상,상,상,중,하
12,park,out,중,중,중,중,중,하,중,하
13,art,out,상,중,상,상,중,중,중,하
14,nature,out,중,중,중,중,상,중,중,하
15,nature,out,상,중,하,중,상,중,중,중
16,park,out,중,하,중,상,하,하,중,하
17,traditional,out,중,하,중,상,상,중,중,하
18,nature,out,하,하,하,중,상,상,하,중
19,nature,out,중,하,하,하,상,중,중,하
20,nature,out,중,하,중,상,중,중,중,하
21,nature,out,중,하,하,상,상,중,중,하
22,traditional,out,중,하,하,중,상,상,중,하
23,food,out,상,중,중,상,하,중,중,하
24,nature,out,중,하,하,중,중,중,중,중
25,nature,out,상,하,하,상,상,상,중,하
26,nature,out,중,하,하,중,상,중,중,하
27,art,in,중,하,상,중,중,중,중,하
28,nature,out,상,하,하,중,상,중,중,중
29,nature,out,중,하,하,상,상,상,중,하
30,traditional,out,중,하,하,중,상,상,중,하
31,traditional,out,상,하,하,중,상,상,중,하
32,nature,out,하,하,하,중,상,상,하,중
33,nature,out,중,하,하,중,상,중,중,하
34,traditional,out,중,하,하,중,상,상,중,하
35,traditional,out,중,하,하,하,상,상,중,하
36,park,out,중,하,하,중,상,상,상,하
37,nature,out,상,하,하,중,상,상,중,하
38,traditional,out,중,하,하,상,상,상,중,하
39,traditional,out,중,하,하,상,상,상,중,하
40,traditional,out,중,하,하,중,상,상,중,하
41,nature,out,하,하,하,하,상,상,중,하
42,nature,out,중,하,하,중,상,상,중,하
43,nature,out,하,하,하,중,상,상,중,하
44,park,out,중,하,하,상,상,상,중,하
45,nature,out,상,하,하,상,상,상,중,하
46,park,out,중,하,하,중,상,중,중,하
47,nature,out,중,하,하,중,상,상,중,하
48,traditional,out,중,하,하,중,상,상,중,하
49,nature,out,상,하,하,중,상,상,상,하
50,nature,out,중,하,하,중,상,상,중,하
51,nature,out,중,하,하,하,상,상,중,하
52,nature,out,상,하,하,중,상,상,중,하
53,a,a,a,a,a,a,a,a,a,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
